Alpha,Threshold,TP,FP,TN,FN,Accuracy,Precision,Recall,F1_Score,Yes_Ratio
0.0,0.6,1311,115,1385,189,0.8986666666666666,0.9193548387096774,0.874,0.8961038961038961,0.47533333333333333
-1.0,0.6,1237,33,1467,263,0.9013333333333333,0.974015748031496,0.8246666666666667,0.8931407942238266,0.42333333333333334
-2.0,0.6,1236,33,1467,264,0.901,0.9739952718676123,0.824,0.8927410617551462,0.423
-3.0,0.6,1185,31,1469,315,0.8846666666666667,0.9745065789473685,0.79,0.8726067746686303,0.4053333333333333
-4.0,0.6,1145,27,1473,355,0.8726666666666667,0.976962457337884,0.7633333333333333,0.8570359281437125,0.39066666666666666
-5.0,0.6,1138,51,1449,362,0.8623333333333333,0.9571068124474348,0.7586666666666667,0.8464113053179622,0.3963333333333333
-6.0,0.6,1339,1452,48,161,0.4623333333333333,0.47975635972769615,0.8926666666666667,0.6240969470985784,0.9303333333333333
-7.0,0.6,1409,1481,19,91,0.476,0.4875432525951557,0.9393333333333334,0.6419134396355353,0.9633333333333334
-8.0,0.6,1409,1481,19,91,0.476,0.4875432525951557,0.9393333333333334,0.6419134396355353,0.9633333333333334
-9.0,0.6,1409,1481,19,91,0.476,0.4875432525951557,0.9393333333333334,0.6419134396355353,0.9633333333333334
-10.0,0.6,1409,1481,19,91,0.476,0.4875432525951557,0.9393333333333334,0.6419134396355353,0.9633333333333334
2.0,0.7,1402,1468,32,98,0.478,0.48850174216027875,0.9346666666666666,0.6416475972540046,0.9566666666666667
1.0,0.7,1402,1468,32,98,0.478,0.48850174216027875,0.9346666666666666,0.6416475972540046,0.9566666666666667
0.0,0.7,1311,115,1385,189,0.8986666666666666,0.9193548387096774,0.874,0.8961038961038961,0.47533333333333333
-1.0,0.7,1260,39,1461,240,0.907,0.9699769053117783,0.84,0.9003215434083601,0.433
-2.0,0.7,1260,39,1461,240,0.907,0.9699769053117783,0.84,0.9003215434083601,0.433
-3.0,0.7,1242,39,1461,258,0.901,0.9695550351288056,0.828,0.8932038834951455,0.427
-4.0,0.7,1234,37,1463,266,0.899,0.970889063729347,0.8226666666666667,0.8906531937928547,0.4236666666666667
-5.0,0.7,1233,62,1438,267,0.8903333333333333,0.9521235521235522,0.822,0.8822898032200358,0.43166666666666664
-6.0,0.7,1374,1444,56,126,0.4766666666666667,0.48757984386089426,0.916,0.6364057433997222,0.9393333333333334
-7.0,0.7,1402,1468,32,98,0.478,0.48850174216027875,0.9346666666666666,0.6416475972540046,0.9566666666666667
-8.0,0.7,1402,1468,32,98,0.478,0.48850174216027875,0.9346666666666666,0.6416475972540046,0.9566666666666667
-9.0,0.7,1402,1468,32,98,0.478,0.48850174216027875,0.9346666666666666,0.6416475972540046,0.9566666666666667
-10.0,0.7,1402,1468,32,98,0.478,0.48850174216027875,0.9346666666666666,0.6416475972540046,0.9566666666666667
2.0,0.8,1392,1460,40,108,0.47733333333333333,0.48807854137447404,0.928,0.6397058823529412,0.9506666666666667
1.0,0.8,1392,1460,40,108,0.47733333333333333,0.48807854137447404,0.928,0.6397058823529412,0.9506666666666667
0.0,0.8,1311,115,1385,189,0.8986666666666666,0.9193548387096774,0.874,0.8961038961038961,0.47533333333333333
-1.0,0.8,1282,46,1454,218,0.912,0.9653614457831325,0.8546666666666667,0.9066478076379068,0.44266666666666665
-2.0,0.8,1282,46,1454,218,0.912,0.9653614457831325,0.8546666666666667,0.9066478076379068,0.44266666666666665
-3.0,0.8,1280,46,1454,220,0.9113333333333333,0.9653092006033183,0.8533333333333334,0.9058740268931352,0.442
-4.0,0.8,1276,46,1454,224,0.91,0.9652042360060514,0.8506666666666667,0.9043231750531537,0.44066666666666665
-5.0,0.8,1277,71,1429,223,0.902,0.9473293768545994,0.8513333333333334,0.8967696629213484,0.4493333333333333
-6.0,0.8,1376,1436,64,124,0.48,0.48933143669985774,0.9173333333333333,0.6382189239332097,0.9373333333333334
-7.0,0.8,1391,1460,40,109,0.477,0.48789898281304805,0.9273333333333333,0.6393932429326592,0.9503333333333334
-8.0,0.8,1392,1460,40,108,0.47733333333333333,0.48807854137447404,0.928,0.6397058823529412,0.9506666666666667
-9.0,0.8,1392,1460,40,108,0.47733333333333333,0.48807854137447404,0.928,0.6397058823529412,0.9506666666666667
-10.0,0.8,1392,1460,40,108,0.47733333333333333,0.48807854137447404,0.928,0.6397058823529412,0.9506666666666667
